Pick,Tm,Player,Pos,Age,To,wAV,DrAV,G,Cmp,Att,Yds,TD,Att,Yds,TD,Rec,Yds,TD,College/Univ,Year
1,LAR,Jared Goff,QB,21,2024,96,45,134,3047,4646,35058,222,276,551,12,2,12,1,California,2016
2,PHI,Carson Wentz,QB,23,2024,60,43,98,2085,3327,22410,153,357,1418,11,2,11,0,North Dakota St.,2016
4,DAL,Ezekiel Elliott,RB,21,2024,68,65,135,1,1,4,0,2139,9130,74,368,2718,14,Ohio St.,2016
15,CLE,Corey Coleman,WR,22,2018,6,5,27,0,0,0,0,3,15,0,61,789,5,Baylor,2016
21,HOU,Will Fuller,WR,22,2021,24,24,55,0,0,0,0,4,6,0,213,3136,24,Notre Dame,2016
22,WAS,Josh Doctson,WR,23,2019,9,9,34,0,0,0,0,1,-14,0,81,1100,8,TCU,2016
23,MIN,Laquon Treadwell,WR,21,2024,8,5,83,0,0,0,0,0,0,0,111,1242,5,Mississippi,2016
26,DEN,Paxton Lynch,QB,22,2017,2,2,5,79,128,792,4,16,55,0,0,0,0,Memphis,2016
35,SDG,Hunter Henry,TE,21,2024,32,16,119,0,0,0,0,0,0,0,395,4527,40,Arkansas,2016
40,NYG,Sterling Shepard,WR,23,2024,30,27,104,0,0,0,0,32,255,1,404,4429,24,Oklahoma,2016
45,TEN,Derrick Henry,RB,22,2024,76,61,136,7,9,37,4,2355,11423,106,174,1651,5,Alabama,2016
47,NOR,Michael Thomas,WR,23,2023,60,60,83,0,0,0,0,2,-8,0,565,6569,36,Ohio St.,2016
51,NYJ,Christian Hackenberg,QB,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Penn St.,2016
55,CIN,Tyler Boyd,WR,21,2024,48,46,136,3,7,85,0,20,169,0,552,6390,31,Pittsburgh,2016
73,MIA,Kenyan Drake,RB,22,2023,33,15,104,0,0,0,0,869,3866,33,218,1655,8,Alabama,2016
81,ATL,Austin Hooper,TE,21,2024,31,18,139,0,0,0,0,0,0,0,409,4178,28,Stanford,2016
85,HOU,Braxton Miller,WR,23,2017,2,2,21,0,0,0,0,4,1,0,34,261,2,Ohio St.,2016
86,MIA,Leonte Carroo,WR,22,2018,2,2,37,0,0,0,0,1,14,0,12,192,2,Rutgers,2016
90,SEA,C.J. Prosise,RB,22,2020,5,5,35,0,0,0,0,75,283,2,41,411,1,Notre Dame,2016
91,NWE,Jacoby Brissett,QB,23,2024,34,2,87,1076,1761,11400,53,245,977,15,1,2,0,North Carolina St.,2016
93,CLE,Cody Kessler,QB,23,2018,5,3,17,224,349,2215,8,31,140,0,0,0,0,USC,2016
94,SEA,Nick Vannett,TE,23,2024,7,4,111,0,0,0,0,0,0,0,108,1012,9,Ohio St.,2016
100,OAK,Connor Cook,QB,23,2016,0,0,1,14,21,150,1,0,0,0,0,0,0,Michigan St.,2016
107,BAL,Chris Moore,WR,23,2024,13,4,111,0,0,0,0,16,69,0,138,1710,8,Cincinnati,2016
110,LAR,Tyler Higbee,TE,23,2024,29,29,128,0,0,0,0,1,1,0,361,3668,24,Western Kentucky,2016
112,NWE,Malcolm Mitchell,WR,24,2016,4,4,14,0,0,0,0,0,0,0,32,401,4,Georgia,2016
114,CLE,Ricardo Louis,WR,22,2017,3,3,32,0,0,0,0,0,0,0,45,562,0,Auburn,2016
117,LAR,Pharoh Cooper,WR,21,2022,6,3,75,0,1,0,0,7,26,0,61,545,1,South Carolina,2016
119,HOU,Tyler Ervin,RB,22,2020,2,0,43,0,0,0,0,19,92,0,27,186,0,San Jose St.,2016
126,KAN,Demarcus Robinson,WR,21,2024,25,14,147,0,0,0,0,1,23,0,250,3013,27,Florida,2016
134,BAL,Kenneth Dixon,RB,22,2018,5,5,18,0,0,0,0,148,715,4,36,213,1,Louisiana Tech,2016
135,DAL,Dak Prescott,QB,23,2024,94,94,122,2780,4159,31437,213,420,1938,29,1,11,1,Mississippi St.,2016
136,DEN,Devontae Booker,RB,24,2021,19,11,93,0,0,0,0,527,2119,11,162,1224,2,Utah,2016
138,CLE,Seth Devalve,TE,23,2020,6,5,57,0,0,0,0,0,0,0,60,736,4,Princeton,2016
139,BUF,Cardale Jones,QB,23,2016,0,0,1,6,11,96,0,1,-1,0,0,0,0,Ohio St.,2016
140,TEN,Tajae Sharpe,WR,21,2021,12,11,66,0,0,0,0,2,17,0,117,1397,8,Massachusetts,2016
143,OAK,DeAndre Washington,RB,23,2020,12,11,59,0,0,0,0,313,1213,7,93,643,1,Texas Tech,2016
149,NYG,Paul Perkins,RB,21,2019,5,5,29,0,0,0,0,165,575,0,24,217,0,UCLA,2016
150,CHI,Jordan Howard,RB,21,2022,27,22,73,0,0,0,0,1019,4362,37,85,653,2,Indiana,2016
153,PHI,Wendell Smallwood,RB,22,2021,10,9,56,0,0,0,0,238,956,5,60,474,2,West Virginia,2016
154,CLE,Jordan Payton,WR,23,2016,0,0,4,0,0,0,0,0,0,0,1,3,0,UCLA,2016
156,BUF,Jonathan Williams,RB,22,2023,5,1,47,0,1,0,0,135,563,3,22,149,0,Arkansas,2016
162,KAN,Kevin Hogan,QB,23,2021,2,0,9,60,101,621,4,18,176,1,0,0,0,Stanford,2016
163,GNB,Trevor Davis,WR,23,2019,2,1,43,0,0,0,0,6,86,1,16,205,1,California,2016
165,KAN,Tyreek Hill,WR,22,2024,97,61,141,0,1,0,0,114,819,7,798,11098,82,West Alabama,2016
171,SEA,Alex Collins,RB,22,2021,17,5,50,0,0,0,0,483,1997,18,59,467,1,Arkansas,2016
172,CLE,Rashard Higgins,WR,21,2022,13,13,85,0,0,0,0,1,4,0,137,1890,12,Colorado St.,2016
177,LAR,Temarrick Hemingway,TE,23,2021,0,0,23,0,0,0,0,0,0,0,1,10,0,South Carolina St.,2016
180,MIN,Moritz Boehringer,WR,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
182,BAL,Keenan Reynolds,RB,22,2018,0,0,2,0,0,0,0,0,0,0,0,0,0,Navy,2016
184,NYG,Jerell Adams,TE,23,2019,2,2,30,0,0,0,0,0,0,0,24,214,1,South Carolina,2016
186,MIA,Jakeem Grant,WR,23,2021,14,12,81,0,0,0,0,17,76,1,100,1140,7,Texas Tech,2016
187,WAS,Nate Sudfeld,QB,22,2022,1,0,6,25,37,188,1,10,28,0,0,0,0,Indiana,2016
188,MIN,David Morgan,TE,23,2018,1,1,38,0,0,0,0,0,0,0,16,135,1,Texas-San Antonio,2016
191,DET,Jake Rudock,QB,23,2017,0,0,3,3,5,24,0,0,0,0,0,0,0,Michigan,2016
