Pick,Tm,Player,Pos,Age,To,wAV,DrAV,G,Passing Cmp,Passing Att,Passing Yds,Passing TD,Rushing Att,Rushing Yds,Rushing TD,Rec,Receiving Yds,Receiving TD,College/Univ,Year
1,CAR,Bryce Young,QB,22,2024,14,14,30,549,911,5280,26,82,502,6,0,0,0,Alabama,2023
2,HOU,C.J. Stroud,QB,21,2024,24,24,32,655,1031,7835,43,91,400,3,1,0,0,Ohio St.,2023
4,IND,Anthony Richardson,QB,21,2024,9,9,15,176,348,2391,11,111,635,10,1,-1,0,Florida,2023
8,ATL,Bijan Robinson,RB,21,2024,21,21,34,0,0,0,0,518,2432,18,119,918,5,Texas,2023
12,DET,Jahmyr Gibbs,RB,21,2024,27,27,32,0,0,0,0,432,2357,26,104,833,5,Alabama,2023
20,SEA,Jaxon Smith-Njigba,WR,21,2024,15,15,34,1,1,35,0,5,26,0,163,1758,10,Ohio St.,2023
21,LAC,Quentin Johnston,WR,22,2024,11,11,32,0,0,0,0,6,15,0,93,1142,10,TCU,2023
22,BAL,Zay Flowers,WR,22,2024,20,20,33,0,0,0,0,17,112,1,151,1917,9,Boston Col.,2023
23,MIN,Jordan Addison,WR,21,2024,15,15,32,0,0,0,0,4,22,1,133,1786,19,USC,2023
25,BUF,Dalton Kincaid,TE,23,2024,12,12,29,0,0,0,0,0,0,0,117,1121,4,Utah,2023
33,TEN,Will Levis,QB,24,2024,11,11,21,339,556,3899,21,70,240,1,0,0,0,Kentucky,2023
34,DET,Sam LaPorta,TE,22,2024,17,17,33,0,0,0,0,1,4,0,146,1615,17,Iowa,2023
35,LVR,Michael Mayer,TE,22,2024,4,4,25,0,0,0,0,0,0,0,48,460,2,Notre Dame,2023
39,CAR,Jonathan Mingo,WR,22,2024,4,4,32,0,0,0,0,2,5,0,60,585,0,Mississippi,2023
42,GNB,Luke Musgrave,TE,23,2024,3,3,18,0,0,0,0,0,0,0,41,397,1,Oregon St.,2023
50,GNB,Jayden Reed,WR,23,2024,18,18,33,0,0,0,0,31,282,3,119,1650,14,Michigan St.,2023
52,SEA,Zach Charbonnet,RB,22,2024,11,11,33,0,0,0,0,243,1031,9,75,549,1,UCLA,2023
55,KAN,Rashee Rice,WR,23,2024,11,11,20,0,0,0,0,2,-2,0,103,1226,9,SMU,2023
58,DAL,Luke Schoonmaker,TE,24,2024,3,3,34,0,0,0,0,0,0,0,35,306,3,Michigan,2023
61,JAX,Brenton Strange,TE,22,2024,3,3,31,0,0,0,0,0,0,0,45,446,3,Penn St.,2023
63,DEN,Marvin Mims,WR,21,2024,10,10,33,0,0,0,0,22,72,0,61,880,7,Oklahoma,2023
68,DET,Hendon Hooker,QB,25,2024,0,0,3,6,9,62,0,5,2,0,0,0,0,Tennessee,2023
69,HOU,Tank Dell,WR,23,2024,12,12,25,0,0,0,0,20,94,0,98,1376,10,Houston,2023
71,NOR,Kendre Miller,RB,21,2024,3,3,14,0,0,0,0,80,304,2,15,150,0,TCU,2023
73,NYG,Jalin Hyatt,WR,21,2024,3,3,33,0,0,0,0,0,0,0,31,435,0,Tennessee,2023
74,CLE,Cedric Tillman,WR,23,2024,4,4,25,0,0,0,0,2,3,0,50,563,3,Tennessee,2023
78,GNB,Tucker Kraft,TE,22,2024,11,11,34,0,0,0,0,3,6,0,81,1062,9,South Dakota St.,2023
79,IND,Josh Downs,WR,22,2024,14,14,31,0,0,0,0,1,12,0,140,1574,7,North Carolina,2023
81,TEN,Tyjae Spears,RB,22,2024,9,9,29,0,0,0,0,184,765,6,82,609,2,Tulane,2023
84,MIA,De'Von Achane,RB,21,2024,18,18,28,0,0,0,0,306,1707,14,105,789,9,Texas A&M,2023
88,JAX,Tank Bigsby,RB,22,2024,6,6,33,0,0,0,0,218,898,9,8,60,0,Auburn,2023
93,PIT,Darnell Washington,TE,22,2024,3,3,34,0,0,0,0,0,0,0,26,261,1,Georgia,2023
94,ARI,Michael Wilson,WR,23,2024,11,11,29,0,0,0,0,1,7,0,85,1113,7,Stanford,2023
100,LVR,Tre Tucker,WR,22,2024,7,7,33,0,0,0,0,19,121,1,66,870,5,Cincinnati,2023
101,SFO,Cameron Latu,TE,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alabama,2023
115,CHI,Roschon Johnson,RB,22,2024,6,6,29,0,0,0,0,136,502,8,50,313,0,Texas,2023
125,LAC,Derius Davis,WR,22,2024,3,3,32,0,0,0,0,26,140,0,28,178,2,TCU,2023
127,NOR,Jake Haener,QB,24,2024,1,1,8,18,39,226,1,11,22,0,0,0,0,Fresno St.,2023
128,LAR,Stetson Bennett,QB,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Georgia,2023
131,CIN,Charlie Jones,WR,24,2024,3,3,19,0,0,0,0,2,13,0,8,69,0,Purdue,2023
133,CHI,Tyler Scott,WR,21,2024,2,2,28,0,0,0,0,7,41,0,18,173,0,Cincinnati,2023
135,LVR,Aidan O'Connell,QB,25,2024,10,10,20,367,586,3830,20,38,41,2,0,0,0,Purdue,2023
139,ARI,Clayton Tune,QB,24,2024,0,0,13,14,23,70,0,15,26,1,0,0,0,Houston,2023
140,CLE,Dorian Thompson-Robinson,QB,23,2024,2,2,15,121,230,880,1,35,187,0,0,0,0,UCLA,2023
143,NYJ,Israel Abanikanda,RB,20,2023,1,1,6,0,0,0,0,22,70,0,7,43,0,Pittsburgh,2023
147,TEN,Josh Whyle,TE,23,2024,3,3,28,0,0,0,0,0,0,0,37,342,2,Cincinnati,2023
149,GNB,Sean Clifford,QB,25,2023,0,0,2,1,1,37,0,3,-2,0,0,0,0,Penn St.,2023
150,BUF,Justin Shorter,WR,23,2024,0,0,10,0,0,0,0,0,0,0,0,0,0,Florida,2023
159,GNB,Dontayvion Wicks,WR,22,2024,10,10,32,1,1,14,0,1,1,0,78,996,9,Virginia,2023
162,IND,Will Mallory,TE,24,2024,2,2,22,0,0,0,0,0,0,0,22,236,0,Miami (FL),2023
163,CIN,Chase Brown,RB,23,2024,13,13,28,0,0,0,0,273,1169,7,68,516,5,Illinois,2023
164,MIN,Jaren Hall,QB,25,2023,1,1,3,13,20,168,0,6,14,0,0,0,0,BYU,2023
171,TAM,Payne Durham,TE,23,2024,2,2,29,0,0,0,0,0,0,0,16,173,2,Purdue,2023
172,NYG,Eric Gray,RB,23,2024,1,1,30,0,0,0,0,31,79,0,16,104,0,Oklahoma,2023
175,LAR,Davis Allen,TE,22,2024,1,1,30,0,0,0,0,0,0,0,16,134,1,Clemson,2023
176,IND,Evan Hull,RB,22,2024,0,0,2,0,0,0,0,1,1,0,1,6,0,Northwestern,2023
177,LAR,Puka Nacua,WR,22,2024,23,23,28,0,0,0,0,23,135,1,184,2476,9,BYU,2023
185,JAX,Parker Washington,WR,21,2024,5,5,26,0,0,0,0,0,0,0,48,522,5,Penn St.,2023
187,NWE,Kayshon Boutte,WR,21,2024,5,5,20,0,0,0,0,0,0,0,45,608,3,LSU,2023
188,PHI,Tanner McKee,QB,23,2024,1,1,2,30,45,323,4,5,-1,0,0,0,0,Stanford,2023
191,TAM,Trey Palmer,WR,22,2024,6,6,32,0,0,0,0,3,22,0,51,557,4,Nebraska,2023
193,WAS,Chris Rodriguez,RB,22,2024,3,3,22,0,0,0,0,86,420,4,3,24,0,Kentucky,2023
195,NOR,A.T. Perry,WR,23,2023,2,2,10,0,0,0,0,0,0,0,12,246,4,Wake Forest,2023
197,MIA,Elijah Higgins,WR,22,2024,4,0,28,0,0,0,0,0,0,0,34,335,3,Stanford,2023
205,HOU,Xavier Hutchinson,WR,23,2024,2,2,32,0,0,0,0,5,49,0,20,207,0,Iowa St.,2023
206,CIN,Andrei Iosivas,WR,23,2024,5,5,33,0,0,0,0,0,0,0,51,595,10,Princeton,2023
210,NWE,Demario Douglas,WR,22,2024,9,9,31,0,0,0,0,11,57,0,115,1182,3,Liberty,2023
212,DAL,Deuce Vaughn,RB,21,2024,1,1,14,0,0,0,0,40,110,0,10,58,0,Kansas St.,2023
215,LAR,Zach Evans,RB,22,2023,0,0,10,0,0,0,0,9,19,0,0,0,0,Mississippi,2023
219,DET,Antoine Green,WR,23,2023,0,0,9,0,0,0,0,0,0,0,1,2,0,North Carolina,2023
220,NYJ,Zack Kuntz,TE,24,2024,0,0,2,0,0,0,0,0,0,0,0,0,0,Old Dominion,2023
222,MIN,DeWayne McBride,RB,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ala-Birmingham,2023
228,TEN,Colton Dowell,WR,24,2023,0,0,10,0,0,0,0,0,0,0,1,3,0,UT Martin,2023
235,GNB,Lew Nichols,RB,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central Michigan,2023
237,SEA,Kenny McIntosh,RB,23,2024,1,1,20,0,0,0,0,31,172,0,3,22,0,Georgia,2023
239,LAC,Max Duggan,QB,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TCU,2023
244,DAL,Jalen Brooks,WR,23,2024,2,2,21,0,0,0,0,0,0,0,18,241,1,South Carolina,2023
247,SFO,Brayden Willis,TE,23,2024,0,0,17,0,0,0,0,0,0,0,0,0,0,Oklahoma,2023
253,SFO,Ronnie Bell,WR,23,2024,1,1,26,0,0,0,0,0,0,0,8,90,3,Michigan,2023
256,GNB,Grant Dubose,WR,22,2024,0,0,3,0,0,0,0,0,0,0,2,11,0,Charlotte,2023
